,行政区,price,最低首付,参考月供,环线信息,小区名称,房源编号,房屋户型,配备电梯,areas,供暖方式,所在楼层,装修情况,房屋朝向,上次交易,房本年限,售房原因,房屋类型,挂牌均价,建筑年代,物业类型,楼栋总数,房屋总数,物业公司,开发商,挂牌房源
176,黄浦,1400,490万,48296元,内环内,东淮海公寓(黄浦豫园)地图,sh4801722举报假一赔百细则,3室2厅2卫,有(二梯二户),141.85平,暂无数据,低区/28层,精装,南,2008-09-01,满五,折现,住宅 - 公寓,99533元/平,2003~2006年,住宅 - 公寓,8栋,549户,上海豫园物业管理有限公司、上海豫园旅游商城物业管理有限公司,上海建工九龙房产有限公司,16套在售二手房10套在租房源
177,普陀,615,215.2万,21216元,中外环,金沙雅苑（三期）(普陀长征)地图,sh4801370举报假一赔百细则,2室2厅1卫,有(一梯三户),79.11平,暂无数据,中区/11层,中装,南,2008-08-01,满五,置换,住宅 - 公寓,72909元/平,2004年,住宅 - 公寓,31栋,1175户,上海协沁物业管理有限公司、上海协沁物业管理有限公司,上海弘象置业有限公司,16套在售二手房7套在租房源
178,松江,208,72.8万,7175元,外环外,青春驿站(松江九亭)地图,sh4801258举报假一赔百细则,1室1厅1卫,有(三梯十七户),40.23平,暂无数据,低区/13层,精装,暂无数据,2008-02-23,满五,暂无数据,住宅 - 公寓,52290元/平,2007年,住宅 - 公寓,5栋,855户,申大物业管理有限公司、上海申大物业、申大物业,中新集团,39套在售二手房14套在租房源
179,普陀,860,301万,29668元,内中环,香溢花城（住宅）(普陀光新)地图,sh4801206举报假一赔百细则,2室2厅2卫,暂无数据,105.71平,暂无数据,低区/25层,精装,南,暂无数据,满五,折现,住宅 - 公寓,83342元/平,2009~2014年,住宅 - 公寓、商业类,35栋,2119户,上海绿城物业有限公司、绿城物业、绿城物业,上海昊川置业有限公司,31套在售二手房13套在租房源
180,虹口,230,80.5万,7934元,内环内,西南小区(虹口曲阳)地图,sh4801103举报假一赔百细则,1室0厅1卫,暂无数据,33.72平,暂无数据,高区/6层,简装,南北,1987-09-22,满五,置换,住宅 - 公寓,72834元/平,1979~1987年,住宅 - 公寓,88栋,2066户,上海大柏树物业有限公司,无开发商,29套在售二手房6套在租房源
181,普陀,750,262.5万,25873元,内环内,中远两湾城(普陀中远两湾城)地图,sh4801092举报假一赔百细则,2室2厅1卫,有(二梯四户),111.63平,暂无数据,高区/34层,简装,南北,2009-09-20,满五,暂无数据,住宅 - 公寓,71535元/平,2001~2006年,住宅 - 公寓,97栋,11603户,上海中远物业管理发展有限公司,上海万业企业股份有限公司,111套在售二手房57套在租房源
182,浦东,1020,357万,35187元,中外环,环球翡翠湾花园(公寓)(浦东三林)地图,sh4800244举报假一赔百细则,3室2厅2卫,有(一梯二户),137.0平,暂无数据,高区/16层,精装,南北,暂无数据,满五,折现,住宅 - 公寓,住宅 - 别墅、住宅 - 公寓,39栋,1195户,第一太平戴维斯物业顾问(上海)有限公司、第一太平戴维斯物业,上海浦发振丰房地产发展有限公司、浦发集团,29套在售二手房13套在租房源,,
183,闸北,285,99.8万,9832元,中外环,永和二村(闸北永和)地图,sh4800104举报假一赔百细则,2室0厅1卫,暂无数据,50.52平,暂无数据,高区/6层,暂无数据,暂无数据,暂无数据,满五,暂无数据,住宅 - 公寓,57381元/平,1995~1996年,住宅 - 公寓,135栋,3252户,上海北城物业有限公司,大宁房地产开发有限公司,44套在售二手房22套在租房源
184,长宁,560,196万,19318元,内环内,红庄小区(长宁新华路)地图,sh4800039举报假一赔百细则,2室1厅1卫,有(二梯九户),62.45平,暂无数据,低区/18层,精装,南,2002-09-05,满五,置换,住宅 - 公寓,94026元/平,1990~1991年,住宅 - 公寓、住宅 - 新里,3栋,467户,上海新长宁集团、长宁物业,上海新长宁集团房地产投资咨询有限公司、长宁集团,6套在售二手房2套在租房源
185,闵行,680,238万,23458元,外环外,白雪公主(闵行七宝)地图,sh4799792举报假一赔百细则,3室2厅1卫,有(一梯二户),115.0平,暂无数据,高区/11层,简装,南,2005-01-01,满五,折现,住宅 - 公寓,58036元/平,2004年,住宅 - 公寓、商业类,57栋,1043户,神州物业管理有限公司、上海万欢物业管理有限公司,上海神州置业发展有限公司,11套在售二手房3套在租房源
186,徐汇,245,85.8万,8452元,内中环,梅苑(徐汇华东理工)地图,sh4799728举报假一赔百细则,1室1厅1卫,暂无数据,44.23平,暂无数据,低区/6层,毛坯,南,暂无数据,满五,置换,住宅 - 公寓,57992元/平,1994年,住宅 - 公寓,24栋,528户,上海望族城物业管理有限公司,上海望族城物业管理有限公司,7套在售二手房0套在租房源
187,黄浦,1220,427万,42087元,内环内,南文大厦(黄浦老西门)地图,sh4799283举报假一赔百细则,5室2厅3卫,有(二梯六户),145.12平,暂无数据,中区/27层,豪装,南北,2002-04-17,满五,折现,住宅 - 公寓,79569元/平,暂无信息,住宅 - 公寓,1栋,141户,上海文化花园物业管理有限公司,上海文中房产开发经营公司,6套在售二手房1套在租房源
188,黄浦,1430,500.5万,49331元,内环内,滨江名人苑(黄浦黄浦滨江)地图,sh4799153举报假一赔百细则,3室2厅2卫,有(二梯三户),147.02平,暂无数据,中区/31层,中装,南北,2005-10-01,满五,折现,住宅 - 公寓,住宅 - 公寓,6栋,507户,上海市陆家嘴物业管理有限公司、上海安馨物业管理有限公司,上海新外滩企业发展有限公司、外滩房产有限公司,11套在售二手房9套在租房源,,
189,浦东,410,143.5万,14144元,中外环,凌云公寓(浦东三林)地图,sh4798890举报假一赔百细则,2室1厅1卫,有(二梯八户),75.96平,暂无数据,中区/18层,精装,暂无数据,2007-05-28,满五,置换,住宅 - 公寓,住宅 - 公寓、住宅 - 写字楼,5栋,563户,上海锦南物业经营有限公司,上海新凌房地产开发有限公司,8套在售二手房4套在租房源,,
190,宝山,305,106.8万,10522元,外环外,古北菊翔苑（菊联路233弄）(宝山顾村)地图,sh4798694举报假一赔百细则,2室2厅1卫,有(一梯三户),74.0平,暂无数据,低区/8层,精装,南北,暂无数据,满五,置换,住宅 - 公寓,46261元/平,2008年,住宅 - 公寓,92栋,1508户,捷森物业,上海古北顾村置业有限公司,35套在售二手房13套在租房源
191,普陀,690,241.5万,23803元,内中环,香山苑(普陀曹杨)地图,sh4797865举报假一赔百细则,2室2厅1卫,有(二梯八户),101.7平,暂无数据,高区/24层,精装,南,1999-12-10,满五,折现,住宅 - 公寓,66200元/平,1998~1999年,住宅 - 公寓,16栋,464户,上海安居物业有限公司,上海民苑房地产开发有限公司,8套在售二手房1套在租房源
192,普陀,170,59.5万,5865元,外环外,桃浦十村(普陀桃浦)地图,sh4797669举报假一赔百细则,1室0厅1卫,有(一梯四户),33.38平,暂无数据,中区/7层,简装,暂无数据,暂无数据,满五,暂无数据,住宅 - 公寓,45093元/平,1995~1999年,住宅 - 公寓,114栋,2819户,上海普陀物业有限公司、普陀物业、上服物业、万志物业,西部集团,51套在售二手房6套在租房源
193,徐汇,395,138.2万,13626元,内环内,大木桥路450弄(徐汇斜土路)地图,sh4797635举报假一赔百细则,2室1厅1卫,暂无数据,49.91平,暂无数据,低区/6层,简装,南,暂无数据,满五,折现,住宅 - 公寓,78702元/平,1982~1989年,住宅 - 公寓,26栋,644户,上海市农工商物业总公司、上海鼎驰投资管理有限公司,高建物业,9套在售二手房3套在租房源
194,杨浦,898,314.3万,30979元,内环内,大运盛城(杨浦控江路)地图,sh4795550举报假一赔百细则,3室2厅2卫,有(一梯二户),129.88平,暂无数据,中区/10层,精装,南,2002-06-15,满五,置换,住宅 - 公寓,73220元/平,2000~2006年,住宅 - 公寓,54栋,1572户,上海联源物业发展有限公司、上海联源物业发展有限公司、联源物业,运盛（上海）房地产建设有限公司,28套在售二手房2套在租房源
195,静安,850,297.5万,29323元,内环内,中凯城市之光（静安）(静安南京西路)地图,sh4795464举报假一赔百细则,2室1厅1卫,有(二梯八户),83.79平,暂无数据,中区/34层,精装,南北,2008-02-18,满五,其它,住宅 - 公寓,119119元/平,2003~2005年,住宅 - 公寓,24栋,1565户,上海恒豪基业物业服务有限公司,上海中凯置业有限公司、中凯集团,32套在售二手房34套在租房源
196,杨浦,250,87.5万,8624元,内环内,凤城一村(杨浦控江路)地图,sh4795221举报假一赔百细则,1室0厅1卫,暂无数据,35.9平,暂无数据,中区/6层,精装,南,2009-07-20,满五,折现,住宅 - 公寓,住宅 - 公寓、住宅 - 新里,11栋,326户,上海庆隆物业管理有限公司,集资开发,6套在售二手房1套在租房源,,
197,杨浦,415,145.2万,14316元,内中环,永吉路97弄(杨浦控江路)地图,sh4795090举报假一赔百细则,2室1厅1卫,暂无数据,67.9平,暂无数据,高区/7层,暂无数据,南,暂无数据,满五,暂无数据,住宅 - 公寓,62056元/平,1987~1994年,住宅 - 公寓,16栋,323户,上海东湖物业管理有限公司、景程物业、东湖物业,上海卫百辛集团、诚佳置业,5套在售二手房3套在租房源
198,浦东,520,182万,17939元,中外环,地杰国际城（E欧泊时光）(浦东御桥)地图,sh4795017举报假一赔百细则,2室2厅1卫,有(二梯五户),85.11平,暂无数据,中区/26层,毛坯,南,暂无数据,满五,折现,住宅 - 公寓,66261元/平,2007年,住宅 - 公寓,20栋,1392户,上实物业,上海地杰置业有限公司,14套在售二手房16套在租房源
199,徐汇,305,106.8万,10522元,内环内,日晖二村(徐汇斜土路)地图,sh4794233举报假一赔百细则,1室1厅1卫,暂无数据,53.1平,暂无数据,低区/6层,简装,南,暂无数据,满五,置换,住宅 - 公寓,66445元/平,1954~2000年,住宅 - 公寓,101栋,2173户,上海高建物业有限公司,政府安置房,21套在售二手房8套在租房源
200,长宁,920,322万,31737元,内中环,里昂花园(长宁古北)地图,sh4794145举报假一赔百细则,3室2厅2卫,有(二梯四户),159.28平,暂无数据,低区/13层,精装,南,暂无数据,满五,折现,住宅 - 公寓,64769元/平,1996年,住宅 - 公寓,7栋,222户,上海古北物业管理有限公司、古北物业,上海古北（集团）有限公司、古北集团,15套在售二手房6套在租房源
201,闵行,228,79.8万,7865元,外环外,新华小区(闵行老闵行)地图,sh4793813举报假一赔百细则,2室1厅1卫,暂无数据,56.17平,暂无数据,中区/6层,精装,南北,暂无数据,满五,暂无数据,住宅 - 公寓,40654元/平,1990~1994年,住宅 - 公寓,111栋,2336户,上海华凯物业管理有限公司,上海闵行房地产发展有限公司、闵行房地产,30套在售二手房17套在租房源
202,浦东,335,117.2万,11557元,内中环,华陇建中小区(浦东张江)地图,sh4793801举报假一赔百细则,2室1厅1卫,暂无数据,58.53平,暂无数据,高区/6层,精装,南,2000-09-15,满五,折现,住宅 - 公寓,59412元/平,1994年,住宅 - 公寓,15栋,360户,张江镇街道、张江物业,上海张江（集团）有限公司、张江集团,3套在售二手房2套在租房源
203,虹口,310,108.5万,10694元,中外环,新三小区(虹口江湾镇)地图,sh4793294举报假一赔百细则,2室1厅1卫,暂无数据,51.84平,暂无数据,低区/6层,简装,南,2007-10-15,满五,置换,住宅 - 公寓,60153元/平,1982年,住宅 - 公寓,4栋,96户,无,暂无信息,5套在售二手房1套在租房源
204,嘉定,354,123.9万,12212元,外环外,中信泰富又一城(嘉定嘉定新城)地图,sh4793101举报假一赔百细则,2室2厅1卫,有(二梯四户),89.86平,暂无数据,高区/36层,精装,南,2012-09-15,满五,折现,住宅 - 公寓,39390元/平,2011~2015年,住宅 - 公寓、住宅 - 写字楼,26栋,2444户,中信泰富（上海）物业管理有限公司、中信泰富物业,上海嘉逸房地产开发有限公司,22套在售二手房10套在租房源
205,长宁,850,297.5万,29323元,内环内,凯旋都市花园(长宁新华路)地图,sh4792811举报假一赔百细则,2室2厅1卫,有(一梯四户),111.36平,暂无数据,低区/33层,中装,南北,暂无数据,满五,折现,住宅 - 公寓,79468元/平,2004年,住宅 - 公寓,5栋,190户,上海家宝物业管理有限公司,上海华峻房地产开发有限公司,4套在售二手房1套在租房源
206,杨浦,415,145.2万,14316元,内中环,浣纱四村(杨浦黄兴公园)地图,sh4792756举报假一赔百细则,2室1厅1卫,暂无数据,59.2平,暂无数据,中区/6层,精装,南北,1995-12-01,满五,置换,住宅 - 公寓,住宅 - 公寓,84栋,1096户,上海黄兴广场物业管理有限公司、上海黄兴物业有限公司,浣纱房地产开发有限公司,17套在售二手房2套在租房源,,
207,长宁,700,245万,24148元,内中环,天山星城(长宁天山)地图,sh4792312举报假一赔百细则,2室1厅1卫,有(一梯四户),75.27平,暂无数据,低区/18层,精装,南北,2009-04-27,满五,其它,住宅 - 公寓,住宅 - 公寓,41栋,2011户,上海申悦物业管理有限公司,上海长宁房地产经营有限公司、长宁集团,11套在售二手房18套在租房源,,
208,浦东,325,113.7万,11212元,内中环,由由四村(浦东北蔡)地图,sh4790701举报假一赔百细则,2室1厅1卫,暂无数据,53.72平,暂无数据,低区/6层,简装,南,暂无数据,满五,折现,住宅 - 公寓,58853元/平,1994~1997年,住宅 - 公寓,117栋,1488户,上海由由物业管理有限公司、上海吉松物业管理中心,上海由由房地产开发有限公司、上海由由集团股份有限公司,14套在售二手房2套在租房源
209,杨浦,280,98万,9659元,内中环,控江路740弄(杨浦控江路)地图,sh4790527举报假一赔百细则,2室0厅1卫,暂无数据,45.0平,暂无数据,中区/5层,简装,南,暂无数据,满五,置换,住宅 - 公寓,64384元/平,1978~1979年,住宅 - 公寓,23栋,472户,景程物业,暂无信息,6套在售二手房1套在租房源
210,松江,226,79.1万,7796元,外环外,凤凰小区(松江松江老城)地图,sh4790520举报假一赔百细则,2室2厅1卫,暂无数据,64.87平,暂无数据,高区/6层,简装,南,暂无数据,满五,暂无数据,住宅 - 公寓,34711元/平,1980~2004年,住宅 - 公寓、商业类、住宅 - 新里,68栋,1241户,上海凤凰物业有限公司、凤凰物业,凤凰房地产开发有限公司,14套在售二手房3套在租房源
211,闵行,179,62.6万,6175元,外环外,红旗五村(闵行老闵行)地图,sh4790380举报假一赔百细则,2室1厅1卫,暂无数据,52.82平,暂无数据,高区/4层,中装,暂无数据,2012-05-14,满五,置换,住宅 - 公寓,住宅 - 公寓、住宅 - 新里,104栋,1458户,上海闵碧物业管理有限公司,上海闵碧物业管理有限公司,15套在售二手房8套在租房源,,
212,杨浦,350,122.5万,12074元,内中环,友谊新村(杨浦周家嘴路)地图,sh4790276举报假一赔百细则,2室0厅1卫,暂无数据,53.42平,暂无数据,高区/6层,中装,南,2001-02-01,满五,其它,住宅 - 公寓,64653元/平,1979~1997年,住宅 - 公寓、住宅 - 新里,104栋,854户,延吉物业,无开发商,8套在售二手房2套在租房源
213,闵行,298,104.3万,10280元,中外环,南方新村(闵行古美)地图,sh4789667举报假一赔百细则,1室1厅1卫,暂无数据,47.43平,暂无数据,低区/6层,毛坯,南,暂无数据,满五,折现,住宅 - 公寓,59501元/平,1993~1996年,住宅 - 公寓、住宅 - 新里,186栋,2283户,上海德凯物业管理有限公司,上海梅陇大厦发展有限公司、梅陇房产,22套在售二手房10套在租房源
214,长宁,360,126万,12419元,内环内,东浜小区(长宁镇宁路)地图,sh4789131举报假一赔百细则,1室1厅1卫,暂无数据,44.22平,暂无数据,中区/6层,简装,南,2000-08-22,满五,其它,住宅 - 公寓,住宅 - 公寓、住宅 - 写字楼,21栋,496户,上海新长宁集团新华物业有限公司、长宁物业,上海新长宁(集团)有限公司、长宁集团,3套在售二手房2套在租房源,,
215,浦东,375,131.2万,12936元,外环外,晨光公寓(浦东川沙)地图,sh4789120举报假一赔百细则,3室1厅1卫,暂无数据,89.33平,暂无数据,中区/6层,精装,南,2010-11-10,满五,置换,住宅 - 公寓,40681元/平,1995~1997年,住宅 - 公寓,25栋,354户,上海怡居物业管理有限公司,上海上科实业有限公司,11套在售二手房1套在租房源
216,杨浦,225,78.8万,7762元,中外环,三门路358弄(杨浦五角场)地图,sh4788966举报假一赔百细则,1室1厅1卫,有(一梯四户),42.87平,暂无数据,中区/7层,简装,南,2002-12-11,满五,折现,住宅 - 公寓,54209元/平,1994~1999年,住宅 - 公寓,81栋,1851户,上海阳光投资(集团)物业管理有限公司、上海市阳广物业管理有限公司、上海阳光物业管理有限公司,上海江湾房地产开发经营有限公司、江湾房产公司,19套在售二手房12套在租房源
217,黄浦,450,157.5万,15524元,内环内,斜土新村(黄浦打浦桥)地图,sh4788889举报假一赔百细则,2室1厅1卫,有(一梯四户),55.9平,暂无数据,低区/7层,简装,南,暂无数据,满五,置换,住宅 - 公寓,84955元/平,1987~1989年,住宅 - 公寓、住宅 - 新里,35栋,867户,上海爱仁物业有限公司,无开发商,14套在售二手房6套在租房源
218,浦东,475,166.2万,16386元,内环内,竹园高层(浦东源深)地图,sh4788626举报假一赔百细则,2室1厅1卫,有(二梯八户),65.72平,暂无数据,低区/26层,简装,西南,暂无数据,满五,其它,住宅 - 公寓,70780元/平,1989~1996年,住宅 - 公寓,12栋,2138户,上海申厦物业有限公司、宏基物业、潍坊物业,上海申城房地产开发实业总公司、上海第八房地产开发公司、市建,39套在售二手房23套在租房源
219,浦东,500,175万,17249元,内环内,朱家滩小区(浦东潍坊)地图,sh4788264举报假一赔百细则,1室0厅1卫,暂无数据,35.6平,暂无数据,低区/6层,简装,南,暂无数据,满五,置换,住宅 - 公寓,105073元/平,1984~1989年,住宅 - 公寓、住宅 - 写字楼,34栋,696户,上海浦东新区潍坊物业公司、潍坊物业,乾坤置业有限公司,9套在售二手房9套在租房源
220,徐汇,570,199.5万,19663元,内环内,漕溪大楼(徐汇徐家汇)地图,sh4788232举报假一赔百细则,3室1厅1卫,有(二梯九户),80.66平,暂无数据,中区/14层,精装,南,暂无数据,满五,折现,住宅 - 公寓,80794元/平,1975~1995年,住宅 - 公寓,9栋,1128户,上海永平置业有限公司、高健物业,上海徐房集团有限公司,10套在售二手房15套在租房源
221,浦东,390,136.5万,13454元,内中环,芳草路352弄(浦东北蔡)地图,sh4787588举报假一赔百细则,2室1厅1卫,暂无数据,67.58平,暂无数据,低区/6层,简装,南,暂无数据,满五,置换,住宅 - 公寓,58576元/平,1994~1996年,住宅 - 公寓,35栋,444户,上海航帆物业管理有限公司,上海裕华,9套在售二手房2套在租房源
222,普陀,180,63万,6210元,内中环,旬阳新村(普陀光新)地图,sh4786820举报假一赔百细则,1室0厅1卫,暂无数据,31.44平,暂无数据,中区/6层,简装,东北,暂无数据,满五,折现,住宅 - 公寓,58165元/平,1981~1988年,住宅 - 公寓,28栋,628户,上海中山物业有限公司,暂无信息,2套在售二手房1套在租房源
223,杨浦,185,64.8万,6382元,内环内,辽源三村(杨浦鞍山)地图,sh4785091举报假一赔百细则,1室0厅1卫,暂无数据,28.04平,暂无数据,低区/6层,精装,西北,暂无数据,满五,折现,住宅 - 公寓,住宅 - 公寓,32栋,1009户,精诚物业、无,精诚房产,16套在售二手房6套在租房源,,
224,浦东,252,88.2万,8693元,中外环,东一小区(浦东金桥)地图,sh4785048举报假一赔百细则,1室1厅1卫,暂无数据,43.31平,暂无数据,低区/6层,暂无数据,暂无数据,暂无数据,满五,折现,住宅 - 公寓,51049元/平,1994~1999年,住宅 - 公寓,84栋,1650户,上海欣晨物业管理有限公司,上海金桥出口加工区开发股份有限公司,36套在售二手房3套在租房源
225,普陀,640,224万,22078元,内中环,万里名轩(普陀万里)地图,sh4785020举报假一赔百细则,2室2厅1卫,有(一梯二户),100.17平,暂无数据,高区/10层,简装,南北,2005-09-09,满五,置换,住宅 - 公寓,60429元/平,1999年,住宅 - 公寓、住宅 - 新里,47栋,676户,上海中环陆家嘴物业管理有限公司、中环物业,上海中环投资开发(集团)有限公司,11套在售二手房2套在租房源
226,嘉定,298,104.3万,10280元,中外环,丰庄十四街坊(嘉定丰庄)地图,sh4784854举报假一赔百细则,2室1厅1卫,暂无数据,65.34平,暂无数据,高区/6层,精装,南北,2012-02-25,满五,置换,住宅 - 公寓,47996元/平,1995~2001年,住宅 - 公寓,264栋,3265户,上海永绿置业有限公司,绿城集团,21套在售二手房4套在租房源
227,浦东,620,217万,21388元,内中环,翰锦苑(浦东三林)地图,sh4784269举报假一赔百细则,2室2厅1卫,有(一梯二户),98.0平,暂无数据,低区/13层,精装,南北,1970-01-01,满五,暂无数据,住宅 - 公寓,2003年,住宅 - 公寓,43栋,1010户,上海诚悦物业管理有限公司,上海恒大房地产开发经营有限公司、恒大集团,6套在售二手房6套在租房源,
228,闸北,210,73.5万,7244元,内环内,三兴小区(闸北不夜城)地图,sh4784246举报假一赔百细则,1室1厅1卫,暂无数据,32.0平,暂无数据,低区/7层,简装,北,2004-11-30,满五,其它,住宅 - 公寓,67627元/平,1993年,住宅 - 公寓、住宅 - 写字楼、住宅 - 新里,3栋,130户,无,暂无信息,2套在售二手房2套在租房源
229,宝山,420,147万,14489元,外环外,荣域飘鹰锦和花园（公寓）(宝山杨行)地图,sh4784023举报假一赔百细则,2室2厅1卫,有(二梯三户),89.41平,暂无数据,中区/18层,精装,南,2012-03-19,满五,置换,住宅 - 公寓,44831元/平,2011年,住宅 - 公寓,35栋,1191户,上海飘鹰物业管理有限公司,"上海飘鹰展翅置业有限公司,",23套在售二手房4套在租房源
230,浦东,365,127.7万,12591元,内环内,峨山路605弄(浦东塘桥)地图,sh4784022举报假一赔百细则,2室1厅1卫,暂无数据,53.07平,暂无数据,低区/6层,简装,南北,暂无数据,满五,暂无数据,住宅 - 公寓,66334元/平,1991~1992年,住宅 - 公寓,16栋,336户,潍坊物业、潍坊物业,上海睿涛房地产开发有限公司,3套在售二手房5套在租房源
231,宝山,300,105万,10349元,外环外,菊泉新城（菊盛路50弄）(宝山顾村)地图,sh4783451举报假一赔百细则,2室2厅1卫,有(一梯四户),82.22平,暂无数据,低区/14层,精装,南,2005-09-17,满五,置换,住宅 - 公寓,43033元/平,2005~2006年,住宅 - 公寓,96栋,1604户,宏苑物业,上海古北顾村置业有限公司,28套在售二手房4套在租房源
232,杨浦,745,260.8万,25700元,内环内,大运盛城(杨浦控江路)地图,sh4782998举报假一赔百细则,2室2厅2卫,有(一梯二户),98.04平,暂无数据,中区/16层,简装,南,2003-04-02,满五,折现,住宅 - 公寓,住宅 - 公寓,54栋,1572户,上海联源物业发展有限公司、上海联源物业发展有限公司、联源物业,运盛（上海）房地产建设有限公司,28套在售二手房2套在租房源,,
233,闸北,350,122.5万,12074元,中外环,三泉安居苑(闸北彭浦)地图,sh4782120举报假一赔百细则,2室1厅1卫,暂无数据,61.43平,暂无数据,中区/6层,中装,南,暂无数据,满五,置换,住宅 - 公寓,55894元/平,1996~1999年,住宅 - 公寓,26栋,705户,安房物业公司,上海昌里花园物业发展有限公司,8套在售二手房0套在租房源
234,杨浦,208,72.8万,7175元,内环内,凤城三村(杨浦控江路)地图,sh4781702举报假一赔百细则,1室1厅1卫,暂无数据,33.28平,暂无数据,高区/6层,简装,南,暂无数据,满五,置换,住宅 - 公寓,住宅 - 公寓,240栋,5872户,上海四平物业管理有限公司、卫百辛物业,上海卫百辛房地产经纪有限公司、卫百辛集团,62套在售二手房14套在租房源,,
235,宝山,250,87.5万,8624元,内中环,大华一村(宝山大华)地图,sh4781691举报假一赔百细则,1室1厅1卫,暂无数据,43.9平,暂无数据,中区/6层,精装,南北,2008-08-07,满五,置换,住宅 - 公寓,55008元/平,1990~2001年,住宅 - 公寓,444栋,6339户,上海大华物业管理公司、自主物业,大华集团上海华宜置业有限公司,53套在售二手房16套在租房源
236,杨浦,699,244.6万,24114元,内中环,皇朝新城(杨浦五角场)地图,sh4781571举报假一赔百细则,3室2厅2卫,有(二梯六户),136.1平,暂无数据,中区/28层,精装,东,暂无数据,满五,折现,住宅 - 公寓,61426元/平,1996~2004年,住宅 - 公寓、住宅 - 写字楼,3栋,468户,上海春之声物业管理有限公司,上海新建置业有限公司,11套在售二手房3套在租房源
237,黄浦,820,287万,28288元,内中环,紫荆新苑(黄浦世博滨江)地图,sh4781290举报假一赔百细则,2室2厅1卫,暂无数据,93.3平,暂无数据,高区/6层,简装,南,暂无数据,满五,折现,住宅 - 公寓,85196元/平,1998年,住宅 - 公寓,57栋,694户,上海恒联物业管理有限公司、恒联物业,上海金刚房地产开发公司,7套在售二手房7套在租房源
238,徐汇,360,126万,12419元,内中环,花苑村丁香园(徐汇康健)地图,sh4780973举报假一赔百细则,2室1厅1卫,暂无数据,56.29平,暂无数据,中区/6层,中装,南北,2003-11-04,满五,折现,住宅 - 公寓,63359元/平,1992~1994年,住宅 - 公寓,110栋,1473户,上海中房物业管理有限公司、上海大柏树物业有限公司、中房物业,上房地产,17套在售二手房5套在租房源
239,浦东,625,218.8万,21561元,内环内,久阳滨江公寓(浦东陆家嘴)地图,sh4780804举报假一赔百细则,2室1厅1卫,有(三梯二十二户),78.0平,暂无数据,中区/25层,精装,南,暂无数据,满五,折现,住宅 - 公寓,74528元/平,2006年,住宅 - 公寓,1栋,240户,和记物业服务(上海)有限公司、久阳物业,上海久阳房地产开发有限公司,18套在售二手房6套在租房源
240,浦东,615,215.2万,21216元,内中环,新里城和合苑(浦东三林)地图,sh4780682举报假一赔百细则,2室2厅1卫,暂无数据,66.72平,暂无数据,高区/6层,精装,南,2009-06-08,满五,其它,住宅 - 公寓,住宅 - 公寓,124栋,1508户,上海万科物业服务有限公司、万科物业,上海万科地产有限公司、万科集团,20套在售二手房14套在租房源,,
241,杨浦,900,315万,31048元,内中环,公园3000黄兴花园(杨浦黄兴公园)地图,sh4780535举报假一赔百细则,2室2厅1卫,有(一梯一户),110.98平,暂无数据,低区/7层,精装,南北,2003-05-01,满五,折现,住宅 - 公寓,83907元/平,2002~2003年,住宅 - 别墅、住宅 - 公寓,149栋,1884户,上海延吉物业管理有限公司、延吉物业,上海新耀房地产开发有限公司,21套在售二手房10套在租房源
242,杨浦,360,126万,12419元,内中环,国顺路310弄(杨浦五角场)地图,sh4780534举报假一赔百细则,2室1厅1卫,暂无数据,50.49平,暂无数据,中区/6层,精装,南北,暂无数据,满五,暂无数据,住宅 - 公寓,68761元/平,1980~1981年,住宅 - 公寓,9栋,216户,凯城楼宇物业管理有限公司,卫百辛集团,4套在售二手房1套在租房源
243,杨浦,360,126万,12419元,中外环,市京一村(杨浦中原)地图,sh4780493举报假一赔百细则,2室1厅1卫,暂无数据,60.67平,暂无数据,低区/6层,简装,东南,暂无数据,满五,折现,住宅 - 公寓,56239元/平,1995~1999年,住宅 - 公寓,77栋,1602户,上海中原物业顾问有限公司、中元物业,中元房地产开发有限公司、上海中元房产有限公司,23套在售二手房7套在租房源
244,闵行,720,252万,24838元,中外环,东苑绿世界花园（二期）(闵行古美)地图,sh4780300举报假一赔百细则,2室2厅2卫,有(一梯二户),116.22平,暂无数据,低区/12层,精装,南,2006-08-02,满五,暂无数据,住宅 - 公寓,住宅 - 公寓,24栋,335户,东慧物业,东苑集团,4套在售二手房3套在租房源,,
245,闵行,780,273万,26908元,中外环,金汇名人苑三街坊(闵行金汇)地图,sh4780270举报假一赔百细则,4室2厅2卫,有(一梯二户),156.48平,暂无数据,中区/7层,简装,南北,1998-11-19,满五,折现,住宅 - 公寓,53091元/平,1996年,住宅 - 公寓,21栋,272户,宝虹物业、宝虹家园物业,上海宝虹房地产实业有限公司,9套在售二手房1套在租房源
246,浦东,580,203万,20008元,内环内,花木苑(浦东花木)地图,sh4780077举报假一赔百细则,2室1厅1卫,暂无数据,74.81平,暂无数据,高区/6层,暂无数据,暂无数据,2003-02-13,满五,其它,住宅 - 公寓,79871元/平,2000~2001年,住宅 - 公寓,151栋,1922户,上海市花木物业、上海花木物业、花木物业,上海鑫荣房地产综合开发有限公司,34套在售二手房15套在租房源
