,totalprice,xiaoqu,huxing,mianji,chaoxiang,zhuangxiu,dianti,guanzhu,daikan,fabu,mianji_num,mi,group_mianji,guanzhu_num,ren,group_guanzhu,label
87,292.0,翠成馨园  , 1室1厅 , 60.19平米 , 南 , 简装,,101人关注 , 共96次带看 , 3个月以前发布,60.19,米 ,50-100,101.0,关注 ,100-200,0
88,280.0,炫特嘉园二期  , 1室0厅 , 41.8平米 , 西 , 精装,,64人关注 , 共31次带看 , 13天以前发布,41.8,米 ,0-50,64.0,关注 ,小于100,0
89,355.0,延静西里  , 2室1厅 , 56.2平米 , 南 , 简装,,48人关注 , 共33次带看 , 13天以前发布,56.2,米 ,50-100,48.0,关注 ,小于100,0
90,355.0,延静西里  , 2室1厅 , 56.2平米 , 南 , 简装,,48人关注 , 共33次带看 , 13天以前发布,56.2,米 ,50-100,48.0,关注 ,小于100,0
91,375.0,曙光里  , 2室1厅 , 56.45平米 , 南 北 , 简装,,363人关注 , 共120次带看 , 2个月以前发布,56.45,米 ,50-100,363.0,关注 ,300-400,0
92,280.0,炫特嘉园二期  , 1室0厅 , 41.8平米 , 西 , 精装,,64人关注 , 共31次带看 , 13天以前发布,41.8,米 ,0-50,64.0,关注 ,小于100,0
93,438.0,恬心家园  , 1室0厅 , 54.44平米 , 北 , 简装,,352人关注 , 共149次带看 , 5个月以前发布,54.44,米 ,50-100,352.0,关注 ,300-400,0
94,640.0,天通苑中苑  , 3室2厅 , 162.09平米 , 南 北 , 精装,,240人关注 , 共146次带看 , 3个月以前发布,162.09,米 ,150-200,240.0,关注 ,200-300,0
95,360.0,农光里  , 2室1厅 , 62.31平米 , 东南 , 精装,,275人关注 , 共37次带看 , 1个月以前发布,62.31,米 ,50-100,275.0,关注 ,200-300,0
96,1050.0,满庭芳园  , 3室1厅 , 117平米 , 东北 , 精装,,57人关注 , 共43次带看 , 1个月以前发布,117.0,米 ,100-150,57.0,关注 ,小于100,2
97,395.0,南湖中园二区  , 2室1厅 , 53.34平米 , 南 北 , 精装,,195人关注 , 共30次带看 , 1个月以前发布,53.34,米 ,50-100,195.0,关注 ,100-200,0
98,435.0,三源里南小街  , 2室1厅 , 61.5平米 , 南 北 , 精装,,48人关注 , 共39次带看 , 1个月以前发布,61.5,米 ,50-100,48.0,关注 ,小于100,0
99,1200.0,金谷园  , 3室2厅 , 129.16平米 , 南 北 , 简装,,117人关注 , 共55次带看 , 7个月以前发布,129.16,米 ,100-150,117.0,关注 ,100-200,2
